Date,Open,High,Low,Close,Adj Close,Volume
2019-12-16,45.110001,45.490002,45.110001,45.330002,44.100784,622200
2019-12-23,45.380001,45.610001,45.000000,45.570000,44.334278,1827600
2019-12-30,45.450001,46.220001,45.020000,45.700001,44.460754,4041800
2020-01-06,45.580002,45.930000,44.959999,45.549999,44.314816,6735600
2020-01-13,45.540001,47.029999,45.509998,46.860001,45.589294,3491700
2020-01-20,46.910000,47.520000,46.709999,47.160000,45.881161,2972300
2020-01-27,46.919998,47.160000,46.049999,46.139999,44.888821,3243600
2020-02-03,46.270000,47.110001,46.119999,46.910000,45.637943,6062800
2020-02-10,47.049999,48.450001,47.049999,48.430000,47.116722,3797800
2020-02-17,48.470001,48.619999,47.590000,48.529999,47.214012,1926700
2020-02-24,47.990002,48.259998,41.040001,42.380001,41.230782,8346800
2020-03-02,42.520000,45.340000,42.060001,43.500000,42.320408,5441700
2020-03-09,41.180000,41.639999,34.599998,37.790001,36.765247,14864100
2020-03-16,33.580002,34.369999,27.879999,28.020000,27.260181,16009900
2020-03-23,27.790001,33.900002,26.309999,33.029999,32.134327,19410500
2020-03-30,33.090000,33.509998,28.940001,29.540001,28.854542,18863400
2020-04-06,30.860001,37.369999,30.790001,36.709999,35.858162,10920900
2020-04-13,36.680000,36.680000,33.570000,34.990002,34.178078,11042600
2020-04-20,34.259998,34.450001,32.419998,33.180000,32.410076,11713300
2020-04-27,33.400002,36.490002,33.400002,34.060001,33.269657,7403100
2020-05-04,33.549999,34.660000,33.029999,34.540001,33.738514,7389800
2020-05-11,34.130001,34.430000,29.799999,31.219999,30.495556,11331500
2020-05-18,32.419998,33.720001,32.419998,33.430000,32.654274,6786400
2020-05-25,34.580002,36.169998,34.580002,35.139999,34.324593,4606200
2020-06-01,35.060001,40.259998,35.060001,39.500000,38.583424,9640800
2020-06-08,40.070000,40.709999,35.720001,37.150002,36.287952,5415000
2020-06-15,35.889999,38.950001,35.799999,35.869999,35.037655,5844700
2020-06-22,35.709999,36.189999,33.599998,34.189999,33.396637,16730400
2020-06-29,34.540001,36.740002,34.029999,35.900002,35.296989,4195300
2020-07-06,36.570000,36.650002,34.389999,35.040001,34.451431,4267400
2020-07-13,35.169998,35.599998,34.560001,35.279999,34.687397,4551200
2020-07-20,35.230000,35.590000,34.660000,35.029999,34.441597,3835900
2020-07-27,35.080002,36.840000,34.610001,36.560001,35.945900,3823900
2020-08-03,36.570000,37.000000,35.869999,37.000000,36.378510,2690600
2020-08-10,37.049999,37.470001,36.240002,36.400002,35.788586,2538900
2020-08-17,36.400002,36.740002,35.529999,36.220001,35.611614,2962400
2020-08-24,36.310001,37.020000,35.799999,37.020000,36.398174,2157300
2020-08-31,36.910000,37.680000,36.119999,36.779999,36.162205,3618500
2020-09-07,36.570000,37.099998,35.650002,35.910000,35.306820,2083000
2020-09-14,36.160000,37.820000,35.849998,35.919998,35.316647,2455200
2020-09-21,35.480000,35.529999,33.820000,34.820000,34.235126,3407700
2020-09-28,35.250000,36.849998,34.980000,36.700001,36.337280,2539600
2020-10-05,36.840000,37.509998,36.230000,37.169998,36.802631,2702900
2020-10-12,37.160000,37.410000,35.919998,36.119999,35.763012,1750900
2020-10-19,36.180000,36.349998,35.520000,36.029999,35.673901,1896300
2020-10-26,35.709999,35.709999,33.759998,34.270000,33.931297,3353600
2020-11-02,34.590000,36.330002,34.349998,35.709999,35.357063,2539000
2020-11-09,37.439999,39.430000,36.869999,38.240002,37.862061,2878700
2020-11-16,38.939999,39.150002,37.450001,37.820000,37.446209,2080000
2020-11-23,38.060001,38.590000,37.730000,37.930000,37.555122,2178600
2020-11-30,37.820000,38.529999,37.380001,38.529999,38.149193,2920800
2020-12-07,38.450001,38.549999,36.790001,37.160000,36.792732,2007500
2020-12-14,37.459999,38.209999,36.900002,37.419998,37.419998,3640300
2020-12-18,38.139999,38.205898,37.130001,37.419998,37.419998,513480
