Date,Open,High,Low,Close,Adj Close,Volume
2019-12-20,16.100000,16.150000,16.049999,16.110001,15.856000,1043100
2019-12-23,15.820000,15.870000,15.790000,15.860000,15.860000,837500
2019-12-24,15.860000,15.950000,15.860000,15.930000,15.930000,466200
2019-12-26,15.970000,16.049999,15.970000,16.049999,16.049999,679200
2019-12-27,16.059999,16.090000,16.020000,16.080000,16.080000,1250000
2019-12-30,16.160000,16.180000,15.980000,16.049999,16.049999,976300
2019-12-31,15.950000,16.049999,15.910000,15.950000,15.950000,806100
2020-01-02,15.970000,16.010000,15.920000,15.970000,15.970000,3026900
2020-01-03,16.230000,16.250000,16.120001,16.160000,16.160000,3210100
2020-01-06,16.280001,16.299999,16.170000,16.190001,16.190001,3232100
2020-01-07,16.160000,16.219999,16.120001,16.180000,16.180000,1924600
2020-01-08,16.170000,16.180000,15.790000,15.940000,15.940000,2340200
2020-01-09,15.850000,15.890000,15.770000,15.870000,15.870000,1077900
2020-01-10,15.860000,15.900000,15.810000,15.870000,15.870000,1877800
2020-01-13,15.810000,15.810000,15.710000,15.750000,15.750000,1264500
2020-01-14,15.820000,15.840000,15.780000,15.820000,15.820000,1201200
2020-01-15,15.780000,15.780000,15.660000,15.740000,15.740000,669800
2020-01-16,15.750000,15.770000,15.680000,15.720000,15.720000,1652300
2020-01-17,15.730000,15.770000,15.680000,15.770000,15.770000,855400
2020-01-21,15.690000,15.730000,15.670000,15.680000,15.680000,991500
2020-01-22,15.600000,15.600000,15.440000,15.470000,15.470000,672600
2020-01-23,15.310000,15.360000,15.230000,15.340000,15.340000,1331600
2020-01-24,15.190000,15.190000,15.060000,15.110000,15.110000,1368800
2020-01-27,14.840000,14.910000,14.770000,14.830000,14.830000,2608400
2020-01-28,14.840000,14.970000,14.810000,14.900000,14.900000,1163300
2020-01-29,14.910000,14.910000,14.800000,14.830000,14.830000,816700
2020-01-30,14.670000,14.720000,14.560000,14.700000,14.700000,1849000
2020-01-31,14.570000,14.670000,14.500000,14.580000,14.580000,1786400
2020-02-03,14.460000,14.530000,14.300000,14.310000,14.310000,3465600
2020-02-04,14.460000,14.470000,14.320000,14.330000,14.330000,1563100
2020-02-05,14.540000,14.630000,14.500000,14.550000,14.550000,2575100
2020-02-06,14.530000,14.610000,14.480000,14.610000,14.610000,2496500
2020-02-07,14.520000,14.580000,14.500000,14.530000,14.530000,943000
2020-02-10,14.420000,14.470000,14.380000,14.400000,14.400000,592900
2020-02-11,14.500000,14.510000,14.430000,14.450000,14.450000,1181900
2020-02-12,14.650000,14.670000,14.590000,14.650000,14.650000,1150300
2020-02-13,14.670000,14.720000,14.620000,14.660000,14.660000,759100
2020-02-14,14.680000,14.710000,14.600000,14.650000,14.650000,1613600
2020-02-18,14.650000,14.780000,14.650000,14.760000,14.760000,946600
2020-02-19,14.820000,14.910000,14.770000,14.900000,14.900000,555600
2020-02-20,14.910000,14.960000,14.820000,14.840000,14.840000,961300
2020-02-21,14.760000,14.790000,14.710000,14.780000,14.780000,667800
2020-02-24,14.480000,14.530000,14.400000,14.500000,14.500000,769600
2020-02-25,14.470000,14.480000,14.230000,14.230000,14.230000,1375500
2020-02-26,14.190000,14.300000,14.060000,14.090000,14.090000,1027000
2020-02-27,13.820000,13.950000,13.740000,13.850000,13.850000,1869500
2020-02-28,13.620000,13.670000,13.460000,13.610000,13.610000,1348600
2020-03-02,13.730000,13.930000,13.670000,13.920000,13.920000,3027700
2020-03-03,13.960000,14.120000,13.850000,13.950000,13.950000,1575800
2020-03-04,14.050000,14.080000,13.890000,13.960000,13.960000,1332700
2020-03-05,13.940000,13.970000,13.760000,13.810000,13.810000,1889400
2020-03-06,13.580000,13.610000,13.290000,13.360000,13.360000,3233600
2020-03-09,12.320000,12.560000,12.260000,12.320000,12.320000,2698900
2020-03-10,12.670000,12.760000,12.540000,12.710000,12.710000,4293300
2020-03-11,12.650000,12.690000,12.470000,12.480000,12.480000,2488200
2020-03-12,12.010000,12.260000,11.510000,11.980000,11.980000,4191700
2020-03-13,12.270000,12.300000,11.940000,12.110000,12.110000,4491600
2020-03-16,11.360000,11.570000,11.200000,11.380000,11.380000,3153200
2020-03-17,11.370000,11.470000,11.180000,11.200000,11.200000,5784200
2020-03-18,10.930000,11.020000,10.410000,10.830000,10.830000,3814000
2020-03-19,10.780000,11.200000,10.720000,11.060000,11.060000,2311100
2020-03-20,11.320000,11.320000,10.860000,10.940000,10.940000,1956700
2020-03-23,10.820000,11.110000,10.820000,11.070000,11.070000,2089600
2020-03-24,11.300000,11.400000,11.220000,11.310000,11.310000,1040400
2020-03-25,11.350000,11.610000,11.300000,11.500000,11.500000,1486900
2020-03-26,11.470000,11.590000,11.330000,11.460000,11.460000,1839200
2020-03-27,11.280000,11.490000,11.280000,11.420000,11.420000,1420300
2020-03-30,11.330000,11.400000,11.180000,11.390000,11.390000,1668100
2020-03-31,11.490000,11.490000,11.220000,11.250000,11.250000,1218400
2020-04-01,11.110000,11.120000,10.910000,10.930000,10.930000,1466400
2020-04-02,11.050000,11.500000,10.950000,11.140000,11.140000,1624100
2020-04-03,11.380000,11.450000,11.220000,11.420000,11.420000,961900
2020-04-06,11.430000,11.540000,11.350000,11.480000,11.480000,1157200
2020-04-07,11.630000,11.640000,11.440000,11.560000,11.560000,1923500
2020-04-08,11.550000,11.620000,11.400000,11.530000,11.530000,1357100
2020-04-09,11.550000,11.840000,11.470000,11.560000,11.560000,1923500
2020-04-13,11.650000,11.770000,11.600000,11.760000,11.760000,1351800
2020-04-14,11.750000,11.750000,11.600000,11.660000,11.660000,1098000
2020-04-15,11.470000,11.500000,11.350000,11.420000,11.420000,1272200
2020-04-16,11.450000,11.490000,11.290000,11.390000,11.390000,1522400
2020-04-17,11.390000,11.470000,11.370000,11.440000,11.440000,1055400
2020-04-20,11.230000,11.390000,11.220000,11.250000,11.250000,2004200
2020-04-21,10.900000,10.900000,10.480000,10.720000,10.720000,3327800
2020-04-22,10.890000,10.990000,10.760000,10.870000,10.870000,1321600
2020-04-23,11.000000,11.090000,10.750000,10.840000,10.840000,1132000
2020-04-24,10.830000,10.830000,10.630000,10.700000,10.700000,941300
2020-04-27,10.550000,10.570000,10.460000,10.500000,10.500000,971200
2020-04-28,10.550000,10.590000,10.500000,10.510000,10.510000,956800
2020-04-29,10.720000,10.760000,10.650000,10.700000,10.700000,802900
2020-04-30,10.810000,10.960000,10.660000,10.900000,10.900000,1439600
2020-05-01,10.810000,10.830000,10.700000,10.760000,10.760000,1999800
2020-05-04,10.740000,10.890000,10.660000,10.890000,10.890000,840900
2020-05-05,11.040000,11.190000,11.030000,11.170000,11.170000,931900
2020-05-06,11.110000,11.110000,10.860000,10.950000,10.950000,880900
2020-05-07,11.160000,11.210000,11.000000,11.020000,11.020000,530500
2020-05-08,11.120000,11.250000,11.070000,11.250000,11.250000,1019300
2020-05-11,11.220000,11.240000,11.040000,11.100000,11.100000,1083100
2020-05-12,11.100000,11.110000,11.000000,11.010000,11.010000,1232000
2020-05-13,10.990000,11.030000,10.870000,10.900000,10.900000,571700
2020-05-14,10.910000,11.120000,10.910000,11.090000,11.090000,490600
2020-05-15,11.210000,11.230000,11.100000,11.200000,11.200000,830200
2020-05-18,11.450000,11.570000,11.430000,11.520000,11.520000,1097800
2020-05-19,11.540000,11.570000,11.450000,11.490000,11.490000,411200
2020-05-20,11.660000,11.710000,11.610000,11.690000,11.690000,863500
2020-05-21,11.720000,11.740000,11.570000,11.640000,11.640000,570000
2020-05-22,11.510000,11.590000,11.420000,11.550000,11.550000,768900
2020-05-26,11.670000,11.730000,11.570000,11.670000,11.670000,842300
2020-05-27,11.580000,11.590000,11.440000,11.520000,11.520000,467100
2020-05-28,11.530000,11.690000,11.500000,11.580000,11.580000,678300
2020-05-29,11.550000,11.840000,11.510000,11.780000,11.780000,1109300
2020-06-01,11.730000,11.850000,11.720000,11.850000,11.850000,970900
2020-06-02,11.930000,11.980000,11.890000,11.980000,11.980000,706400
2020-06-03,11.950000,12.040000,11.870000,11.980000,11.980000,862800
2020-06-04,11.990000,12.140000,11.990000,12.080000,12.080000,1091400
2020-06-05,12.290000,12.340000,12.260000,12.320000,12.320000,1500400
2020-06-08,12.310000,12.330000,12.210000,12.240000,12.240000,1581200
2020-06-09,12.180000,12.330000,12.150000,12.280000,12.280000,646100
2020-06-10,12.290000,12.440000,12.240000,12.360000,12.360000,1292000
2020-06-11,12.090000,12.150000,11.910000,11.960000,11.960000,1122900
2020-06-12,12.080000,12.140000,11.950000,12.010000,12.010000,693900
2020-06-15,11.860000,12.150000,11.810000,12.120000,12.120000,652100
2020-06-16,12.280000,12.360000,12.140000,12.220000,12.220000,891900
2020-06-17,12.180000,12.240000,12.130000,12.160000,12.160000,540400
2020-06-18,12.140000,12.250000,12.140000,12.230000,12.230000,951700
2020-06-19,12.400000,12.410000,12.200000,12.330000,12.330000,1605400
2020-06-22,12.380000,12.470000,12.350000,12.460000,12.460000,939800
2020-06-23,12.480000,12.520000,12.380000,12.400000,12.400000,745900
2020-06-24,12.360000,12.380000,12.060000,12.090000,12.090000,1372500
2020-06-25,12.070000,12.200000,12.060000,12.200000,12.200000,618900
2020-06-26,12.140000,12.140000,12.000000,12.050000,12.050000,738000
2020-06-29,12.150000,12.280000,12.120000,12.250000,12.250000,790600
2020-06-30,12.220000,12.390000,12.210000,12.310000,12.310000,1118200
2020-07-01,12.380000,12.420000,12.270000,12.410000,12.410000,1117600
2020-07-02,12.470000,12.530000,12.400000,12.460000,12.460000,1422000
2020-07-06,12.560000,12.610000,12.520000,12.560000,12.560000,1475500
2020-07-07,12.510000,12.630000,12.500000,12.570000,12.570000,1142000
2020-07-08,12.650000,12.730000,12.630000,12.730000,12.730000,819900
